"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"305ACR","305ACR",7,51.4,244,7,21.34,32.45,51.4,117,170.2,85.9,6,85.7142857142857,4,57.1428571428571
"305BRS","305BRS",17,17.9,508,2.1,5.508,9.6,17.9,46.2,138.6,65.5476470588235,8,47.0588235294118,5,29.4117647058824
"305CAN","305CAN",81,6,601,0,0.8,2.75,6,19.2,67.7,38.220987654321,18,22.2222222222222,13,16.0493827160494
"305CHI","305CHI",98,26.45,1000,2.87,7.492,10.9,26.45,55.15,104.99,58.1236734693878,51,52.0408163265306,35,35.7142857142857
"305COR","305COR",82,19.5,2360,0.7,4.847,9.625,19.5,37.25,134.73,87.3418292682927,30,36.5853658536585,19,23.1707317073171
"305FRA","305FRA",88,76.55,352,4.27,15.41,36.075,76.55,163.8,251.29,108.534772727273,72,81.8181818181818,60,68.1818181818182
"305FUF","305FUF",15,54,190,7.72,10.528,22.05,54,92.35,144.2,65.9066666666667,10,66.6666666666667,8,53.3333333333333
"305HOL","305HOL",1,154,154,154,154,154,154,154,154,154,1,100,1,100
"305LCS","305LCS",90,3.855,705,0,0.48,1.9025,3.855,9.4225,36.96,26.4157777777778,14,15.5555555555556,8,8.88888888888889
"305LHB","305LHB",3,212,232,37.3,72.24,124.65,212,222,228,160.433333333333,3,100,2,66.6666666666667
"305LLA","305LLA",7,12.7,210,0.1,1.48,3.5,12.7,24.9,100.26,39.9428571428571,2,28.5714285714286,1,14.2857142857143
"305MVR","305MVR",7,39.6,236.6,0,5.88,14.5,39.6,103.3,187.04,73.1142857142857,4,57.1428571428571,3,42.8571428571429
"305PJP","305PJP",96,19.1,1000,0.1,4.025,9.4525,19.1,56.6,161.35,77.8226041666667,41,42.7083333333333,32,33.3333333333333
"305PRR","305PRR",7,38.2,58.1,1.22,5.828,14.7,38.2,47.6,53.18,31.7314285714286,4,57.1428571428571,3,42.8571428571429
"305SAN","305SAN",7,28.2,59.3,0.1,1.78,15.45,28.2,38.35,50.06,27.8857142857143,5,71.4285714285714,2,28.5714285714286
"305SBH","305SBH",2,133,145,121,123.4,127,133,139,142.6,133,2,100,2,100
"305SJA","305SJA",98,17.05,712,0,2.14,9.74,17.05,26.675,71.84,44.6405102040816,26,26.530612244898,15,15.3061224489796
"305STL","305STL",47,18.8,5000,0,3.92,9.7,18.8,55.575,122.8,148.44914893617,20,42.5531914893617,15,31.9148936170213
"305TSR","305TSR",95,35.9,1000,0.9,12.28,16.05,35.9,66.35,167.2,80.4937894736842,59,62.1052631578947,42,44.2105263157895
"305WCS","305WCS",16,4.955,253,1.82,2.81,3.6225,4.955,23.35,189.5,45.85625,4,25,3,18.75
"305WSA","305WSA",77,54.7,1200,2.01,9.92,16.6,54.7,119,200.36,108.290909090909,52,67.5324675324675,45,58.4415584415584
"309ALG","309ALG",91,196,5492,16.1,41.4,72.1,196,612,1161,510.675824175824,88,96.7032967032967,83,91.2087912087912
"309ASB","309ASB",90,51.45,715,0.1,13.01,27.25,51.45,102.45,199.34,94.1977777777778,72,80,52,57.7777777777778
"309AVR","309AVR",7,56.2,1454,31.5,41.7,52.3,56.2,766.5,1260.2,454.185714285714,7,100,6,85.7142857142857
"309BLA","309BLA",93,48.8,705,0.1,7.64000000000001,25.8,48.8,80.8,173.04,81.4525806451613,71,76.3440860215054,52,55.9139784946236
"309CCD","309CCD",29,113,3000,5,28.08,51,113,316,1092.2,429.7,26,89.6551724137931,23,79.3103448275862
"309CRR","309CRR",18,2970,5000,98.1,291.25,664.75,2970,3000,3000,2192.9,18,100,18,100
"309ESP","309ESP",94,153.1,3000,0.1,22.79,64.575,153.1,535.75,1286.7,420.197872340426,83,88.2978723404255,79,84.0425531914894
"309GAB","309GAB",28,530,3000,26.3,119.16,239.025,530,1506.5,3000,968.651785714286,28,100,27,96.4285714285714
"309GRN","309GRN",56,17.55,5000,0,1.15,4.625,17.55,54.1,554.35,273.7125,24,42.8571428571429,16,28.5714285714286
"309HRT","309HRT",7,1163,3000,366.1,460.84,684,1163,1922.5,2418.6,1391.72857142857,7,100,7,100
"309JON","309JON",92,101.85,4620,3.3,20.57,42.85,101.85,274.75,726.6,333.259782608696,80,86.9565217391304,69,75
"309MER","309MER",93,156.2,3476,20.9,42.6,66.9,156.2,367,939.4,363.461290322581,90,96.7741935483871,85,91.3978494623656
"309NAD","309NAD",64,82.65,3000,7.55,21.65,39.95,82.65,555.25,1366.9,459.7203125,56,87.5,48,75
"309NOS","309NOS",4,3000,3000,149,1004.3,2287.25,3000,3000,3000,2287.25,4,100,4,100
"309OLD","309OLD",65,102,2831,0.1,21.36,55.7,102,222,662.8,275.935384615385,57,87.6923076923077,51,78.4615384615385
"309QCW","309QCW",7,681,3000,84.1,104.38,390.95,681,2587,2993.4,1388.71428571429,7,100,7,100
"309QUA","309QUA",5,275.6,3000,45.8,118.48,227.5,275.6,2484,2793.6,1206.58,5,100,5,100
"309QUI","309QUI",62,443,5000,28.8,79.59,153.25,443,1486.5,2974.1,946.409677419355,62,100,60,96.7741935483871
"309RTA","309RTA",8,1042,3000,331,367.4,840.5,1042,1789.75,2227.9,1305.25,8,100,8,100
"309SAC","309SAC",50,44.7,3000,0.54,11.79,22.125,44.7,151.5,648.17,273.2688,34,68,27,54
"309SAG","309SAG",37,42.1,3000,0.1,9.54,17.4,42.1,111.7,458.2,225.051351351351,23,62.1621621621622,19,51.3513513513513
"309SBC","309SBC",7,309.4,712,31.7,54.74,168,309.4,421.25,565,318.8,7,100,6,85.7142857142857
"309SOS","309SOS",7,504,3000,266.6,287.6,361.8,504,896.5,1969.2,898.171428571429,7,100,7,100
"309SSP","309SSP",45,67.6,2584,0.1,8.58,32.2,67.6,159.9,777.4,243.588888888889,36,80,30,66.6666666666667
"309SUN","309SUN",4,25.85,1223,0.1,4.81,11.875,25.85,332.675,866.87,318.7,2,50,1,25
"309TEH","309TEH",93,140.3,3260,27.5,55.62,83.8,140.3,398.8,1183.6,383.293548387097,93,100,89,95.6989247311828
"309UQA","309UQA",8,29.9,306.6,6.9,8.37,11.475,29.9,118.425,267.54,89.9625,4,50,4,50
"309USA","309USA",7,54.6,1097,0.1,0.1,5.85,54.6,60.35,477.2,183.442857142857,4,57.1428571428571,4,57.1428571428571
"310CCC","310CCC",84,2.1,226.3,0.1,0.1,0.9925,2.1,4.41,22.5335,12.5581904761905,8,9.52380952380952,5,5.95238095238095
"310LBC","310LBC",35,2.5,1000,0,0.3,0.995,2.5,5.46,160.16,55.0846857142857,5,14.2857142857143,5,14.2857142857143
"310PRE","310PRE",89,10.1,251,1.6,5.18,7.8,10.1,20.8,87.86,28.0895505617978,22,24.7191011235955,15,16.8539325842697
"310SLD","310SLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"310USG","310USG",88,2.61,3000,0.1,1.094,1.4875,2.61,5.6075,19.88,62.6276136363636,9,10.2272727272727,8,9.09090909090909
"310WRP","310WRP",62,3.855,936,0.1,0.729,1.6375,3.855,11.2725,77.97,52.0975806451613,11,17.741935483871,9,14.5161290322581
"312BCC","312BCC",32,372.8,6032,8.8,69.34,95.65,372.8,899.5,2816.4,886.846875,29,90.625,29,90.625
"312BCJ","312BCJ",86,107.2,3000,4.9,17.45,36.525,107.2,276.65,938.8,364.293372093023,73,84.8837209302326,63,73.2558139534884
"312BSR","312BSR",7,276.3,3000,84.2,127.4,170.1,276.3,690.85,1816.8,726.057142857143,7,100,7,100
"312GVS","312GVS",64,35.75,3000,0.1,3.679,10.7,35.75,114.65,768.430000000001,295.393125,38,59.375,30,46.875
"312MAB","312MAB",4,95,1593,22.2,41.43,70.275,95,476.025,1146.21,451.3,3,75,3,75
"312MSD","312MSD",89,75.3,1206,2.53,15.4,32.8,75.3,191.3,423.6,180.637415730337,74,83.1460674157303,62,69.6629213483146
"312MSS","312MSS",7,34.1,794.4,3.2,8.42,18.15,34.1,189.5,489.3,178.142857142857,4,57.1428571428571,3,42.8571428571429
"312OFC","312OFC",94,94.5,3000,2.81,11.16,27.8,94.5,424.55,1000,408.437127659574,75,79.7872340425532,59,62.7659574468085
"312OFN","312OFN",92,24.6,3000,2.83,7.316,15.35,24.6,49.85,122.54,105.655217391304,45,48.9130434782609,30,32.6086956521739
"312OLR","312OLR",5,754,3000,305.8,405.04,553.9,754,775,2110,1077.74,5,100,5,100
"312ORB","312ORB",7,27.1,2489,9.2,11.42,13.7,27.1,60.4,1042.22,381.928571428571,4,57.1428571428571,3,42.8571428571429
"312ORC","312ORC",92,192,3000,5.18,25.39,68.225,192,502,961.290000000001,408.487826086957,83,90.2173913043478,76,82.6086956521739
"312ORI","312ORI",94,54,3000,0.1,7.35,12.925,54,170.65,651.8,247.764893617021,57,60.6382978723404,51,54.2553191489362
"312ORN","312ORN",7,547,703.1,93.5,133.7,246.75,547,586.25,635.24,429.942857142857,7,100,7,100
"312ORS","312ORS",3,331.9,2757,7.7,72.54,169.8,331.9,1544.45,2271.98,1032.2,2,66.6666666666667,2,66.6666666666667
"312OSR","312OSR",6,280.45,3000,31.1,45.25,71.375,280.45,520.65,1771.5,699.066666666667,6,100,5,83.3333333333333
"312SMA","312SMA",87,154,3000,5.65,31.94,68.65,154,246.5,964,343.160804597701,81,93.1034482758621,75,86.2068965517241
"312SMI","312SMI",20,899.9,28400,3.2,6.56,28.25,899.9,3000,3000,2536.795,15,75,13,65
"312USC","312USC",7,1064,3000,51.8,208.82,321.95,1064,1873,2448.6,1215.1,7,100,7,100
"313SAE","313SAE",1,142,142,142,142,142,142,142,142,142,1,100,1,100
"314DDE","314DDE",6,69.9,573,14.1,18.8,30.35,69.9,201.475,406,164.9,4,66.6666666666667,4,66.6666666666667
"314MCM","314MCM",7,6.2,36.4,2.7,4.32,5.7,6.2,14.75,24.82,12.3142857142857,1,14.2857142857143,0,0
"314SYF","314SYF",65,11.2,1342,0.1,3.04,5.9,11.2,17.9,145.6,70.2949230769231,14,21.5384615384615,10,15.3846153846154
