"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"314SYI","314SYI",3,1.7,1.9,1.6,1.62,1.65,1.7,1.8,1.86,1.73333333333333,0,0,0,0
"314SYL","314SYL",17,2.95,7.9,0,0.1,0.63,2.95,3.89,4.586,2.68,0,0,0,0
"314SYN","314SYN",29,3.7,36.9,0.1,0.34,1.4,3.7,8.18,19.76,6.95551724137931,1,3.44827586206897,0,0
"315APC","315APC",15,2.97,13.6,0.51,1.484,1.83,2.97,4.19,11.468,4.36,0,0,0,0
"315APF","315APF",31,1.45,12,0,0.1,0.6,1.45,3,5.63,2.3241935483871,0,0,0,0
"315BEF","315BEF",49,2,12.6,0,0.1,0.8,2,3.1,5.53,2.52918367346939,0,0,0,0
"315FMV","315FMV",66,4.295,240.5,0.1,1.15,2.5075,4.295,7.1475,13.45,10.6119696969697,4,6.06060606060606,3,4.54545454545455
"315GAN","315GAN",66,3.16,1051,0.1,0.975,1.7925,3.16,5.2025,16.85,21.280303030303,3,4.54545454545455,1,1.51515151515152
"315GBR","315GBR",5,3.4,9.6,1.9,2.02,2.2,3.4,4,7.36,4.22,0,0,0,0
"315LCC","315LCC",4,2.995,14.5,1.24,1.399,1.6375,2.995,6.79,11.416,5.4325,0,0,0,0
"315LCR","315LCR",1,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,1,100,0,0
"317ESE","317ESE",5,73.4,393.2,6.7,24.1,50.2,73.4,228,327.12,150.3,4,80,4,80
