OBJECTID,station_co,station_na,COMID,GNIS_NAME,ATTRIBUTE
209,304PS0253,San Lorenzo River ~0.4mi above McGaffigan Rd.,17682178,San Lorenzo River,R3UBH
210,304PS0274,Zayante Creek above Grahm Hill Rd,17682470,Zayante Creek,R3UBH
211,308PS0308,Unnamed Trib. to Mill Creek ~0.8mi above Mainstem,8190091, ,R4SBC
212,307CE0094,San Clemente Creek ~1.3mi above Black Rock Creek,17601605,San Clemente Creek,R3UBH
213,309ARCBRC,Arroyo Seco below Rocky Creek,8203373,Arroyo Seco,R3UBH
214,309CLCBVC,Chalone Creek,8202351,Chalone Creek,PEM/SSC
215,305CLCSBR,Clear Creek,17673639,Clear Creek,
216,305LGCACR,Laguna Creek,17671963,Laguna Creek,PUBF
217,309SARANF,San Antonio River,8204317,San Antonio River,R4SBC
218,309SDCMCC,Sandy Creek,8202263, ,R3UBH
219,310LPCBPC,Lopez Canyon Creek ~0.5mi below Potrero Cr.,8192731, ,R3UBH
220,315ARH101,Arroyo Hondo ~0.5mi above Hwy 101,17594741, ,R3UBH
221,309ARSARC,Arroyo Seco ~0.3mi above Rosevelt Cr.,8204015,Arroyo Seco,R3UBH
222,308BSU,Big Sur River at Peiffer Big Sur State Park USGS gauge,8189809,Big Sur River,R3UBH
223,307CMRADC,Carmel River above Danish Cr.,17601657,Carmel River,R3UBH
224,305LGCBRC,Llagas Creek above Baldy Ryan Cyn. Cr.,17661007,Llagas Creek,R3UBH
225,312MZCDBC,Manzana Creek ~0.5mi above Davy Brown Creek,17626881,Manzana Creek,R3UBF
226,308MWCAH1,McWay Creek ~0.4mi above Hwy 1,8189049,McWay Creek,R3UBH
227,310OLD,Old Creek at Cottontail Creek Road County Access Gate,8193557,Old Creek,R2UBH
228,308PWCAH1,Prewitt Creek above Hwy 1,8190141,Prewitt Creek,R3UBH
229,312RYCALR,Reyes Creek ~2.7mi above Lockwood Valley Rd.,17637988,Reyes Creek,PSSA
230,308SAM,Salmon Creek upstream Hwy 1,8191147,Salmon Creek,R3UBH
231,307SCCARR,San Clemente Creek ~0.5mi above Robinson Cyn. Rd.,17600667,San Clemente Creek,R4SBC
232,304SPC236,Sempervirens Creek above Hwy 236,17682218,Sempervirens Creek,R3UBF
233,305SSCAUC,Swanson Creek above Uvas Cr.,17661281, ,PFOA
234,305UVCASC,Uvas Creek above Swanson Cyn. Cr.,17661237,Uvas Creek,R3UBH
235,304WDCAH1,Waddell Creek ~1.8mi above Hwy 1,17682686,Waddell Creek,R3UBH
236,309WLCATC,Willow Creek ~0.3mi above Trassajara Cr.,8203489,Willow Creek,R3UBH
237,308BGC,Big Creek at Highway 1,8189139,Big Creek,R3UBH
238,308LSRASC,Little Sur River ~0.4mi above Skinner Cr.,8188811,Little Sur River,R3UBH
239,310SSU,San Simeon Creek at San Simeon Creek Road,8190679,San Simeon Creek,R3UBH
240,309LAS1MI,Arroyo Seco Creek ~1.1mi below Tassajara Cr.,8203439,Arroyo Seco,R3UBH
241,312DAVDAV,Davy Brown Creek below Munch Cyn.,17626357, ,R4SBJ
242,308LILPAL,Little Sur River ~1.7mi above Skinner Cr.,8188755,Little Sur River,R3UBH
243,308ROCBBQ,Rocky Creek ~1.7mi above Hwy 1,8188719,Rocky Creek,R3UBH
244,309SED071,Tassajara Creek - Horse Pasture Trail 71,8203477,Tassajara Creek,R3UBH
245,308WER325,Little Sur River above Skinner Creek,8188799,Little Sur River,R3UBH
246,312SQRABP,Sisquoc River ~2.3 mi above Big Pine Cyn.,17626569,Sisquoc River,R3UBF
247,304APW,Aptos Creek @ Winfield,17684386,Aptos Creek,
248,304APT,Aptos Creek at Spreckles Drive,17684386,Aptos Creek,
249,315ABU,Arroyo Burro at Cliff Drive,17595459,Arroyo Burro,PFOC
250,310ADU,Arroyo de la Cruz 500m upstream from Highway 1,8190409,Arroyo De La Laguna,R4SBC
251,310ADC,Arroyo de la Cruz at Highway 1,8190405,Arroyo De La Laguna,R4SBC
252,310ARG,Arroyo Grande Creek at 22nd Street,8193683,Arroyo Grande Creek,R4SBCx
253,315ATA,Atascadero Creek at Ward Drive,17595429,Atascadero Creek,R2UBF
254,308BSR,Big Sur River at Andrew Molera foot bridge,8188861,Big Sur River,R3UBH
255,315GAV,Canada de la Gaviota at State Park entrance,17594763, ,R3UBH
256,307CML,Carmel River at Highway 1,17600111,Carmel River,R2UBH
257,315CRP,Carpinteria Creek at 8th Street foot bridge,17596159,Carpinteria Creek,R4SBC
258,315FRC,Franklin Creek at 7th Street,17595477,Franklin Creek,R4SBCx
259,304GAZ,Gazos Creek Lagoon at Highway 1,17682228,Gazos Creek,R3UBH
260,315JAL,Jalama Creek at County Park at RR trussels,17593975,Jalama Creek,R3UBH
261,308LSR,Little Sur River @ Hwy 1,8188795,Little Sur River,R3UBH
262,315MIS,Mission Creek at Montecito Street,17595453,Mission Creek,R4SBCx
263,305THU,Pajaro River at Thurwachter Bridge,17663449,Pajaro River,E2EMPx
264,310PIS,"Pismo Creek above Highway 101, Frady Lane Bridge",8192993,Pismo Creek,R3UBH
265,315RIN,Rincon Creek at Bates Road,17596161,Rincon Creek,R4USC
266,309DAV,Salinas River at Davis Road,8200471,Salinas River,R4SBC
267,313SAI,San Antonio Creek at San Antonio Rd West,17620568,San Antonio Creek,R2UBH
268,313SAC,San Antonio Creek at VAFB RR bridge,17620018,San Antonio Creek,PFOC
269,310SLB,San Luis Obispo Creek at San Luis Bay Drive,8192913,San Luis Obispo Creek,R2UBH
270,310SSC,San Simeon Creek at State Park foot bridge,8190709,San Simeon Creek,R2UBH
271,304SVC,San Vicente Creek at the gate at the end of San Vicente Creek Road,17682526,San Vicente Creek,PFOC
272,310SRO,Santa Rosa Ck at Moonstone Beach Drive,8191209,Santa Rosa Creek,R3UBH
273,304SCM,Scott Creek upstream Big Creek residences,17682682,Scott Creek,R3UBH
274,304SOK,Soquel Creek at Knob Hill Parking Lot,17684378,Soquel Creek,PFOS
275,304SOQ,Soquel Creek Lagoon at RR Trussels,17684380,Soquel Creek,R1UBV
276,304WAD,Waddell Creek Lagoon at Highway 1,17682686,Waddell Creek,E1UBL
277,308WLO,Willow Creek at Highway 1,8190201,Willow Creek,R3UBH
278,312ALA,Alamo Creek at Alamo Creek Road,17632516,Alamo Creek,PSSA
279,315ABH,Arroyo Burro Creek at Hope Street,17596153,Arroyo Burro,R4SBAx
280,315ATU,Atascadero Creek @ Patterson Avenue,17595395,Atascadero Creek,R4SBC
281,315BEL,Bell Ck on Bacara Resort Access Road,17595359, ,R3UBH
282,312BCD,Blosser Channel below groundwater recharge ponds,,,
283,312BCF,Bradley Canyon diversion channel @ Foxen Canyon Rd,17624263, ,
284,312BCU,Bradley Channel above ponds at Magellan Drive,17623977, ,
285,315GAI,Canada de la Gaviota at Highway 1,17593463, ,R3UBF
286,315RSB,Canada del Refugio above Highway 101,17594785, ,PSSC
287,312CAV,Cuyama River at Highway 33,17637968,Cuyama River,R4USC
288,312CUY,Cuyama River downstream Buckhorn Rd,17632536, ,R4SBA
289,315DOS,Dos Pueblos Canyon Creek at Highway 101,17595317, ,PFOC
290,315CAP,El Capitan Creek below Highway 101,17594801,El Capitan Creek,R3UBH
291,315ANN,Glenn Annie Creek at Los Carneros Road,17595369,Tecolotito Creek,R4SBCx
292,312BRE,La Brea Creek at private property access,17624669,La Brea Creek,
293,315MYC,Maria Ynacio Creek @ Patterson Avenue,17595393,Maria Ygnacio Creek,R4SBC
294,315MIU,Mission Creek at Foothill Road,17595453,Mission Creek,PFOA
295,312NIP,Nipomo Creek at Highway 166,17625305,Nipomo Creek,R4SBC
296,312NIT,Nipomo Creek at Tefft Street,17621895,Nipomo Creek,R4SBC
297,315ROM,Romero Creek @ Jamison Lane,17595445,Romero Creek,PFOA
298,309SBR,Salinas River @ Hwy 1,8201913,Salinas River,R1UBV
299,314SAL,Salsipuedes Creek @ Santa Rosa Rd,17607969,Salsipuedes Creek,R3UBH
300,313SAB,San Antonio Creek at Rancho de las Flores Bridge and Highway 135,17620132,San Antonio Creek,
301,315SJC,San Jose Creek @ Kellogg Boulevard,17595405,San Jose Creek,R4SBCx
302,314MIG,San Miguelito Creek at W. North Avenue,17607917,San Miguelito Creek,
303,315SPC,San Pedro Creek above Holister Road,17595383,San Pedro Creek,R4SBCx
304,315SMC,Santa Monica Creek @ Carpenteria Avenue,17595473,Santa Monica Creek,R4SBCx
305,314SYP,Santa Ynez River at Paradise Road,17610671,Santa Ynez River,R4USA
306,314SYC,Santa Ynez River d/s Lake Cachuma at Highway 154,17608051,Santa Ynez River,R4USA
307,312SIV,Sisquoc River upstream Tepusquet at USGS gage,17625379,Sisquoc River,R4USJ
308,315SCC,Sycamore Creek at Punta Gorda,17595447,Sycamore Creek,R4SBAx
309,315TCI,Tecolote Creek @ Bacara Resort access Road,17595353, ,R3UBH
