OBJECTID,station_co,station_na,COMID,GNIS_NAME,ATTRIBUTE
384,310SLM,San Luis Obispo Creek @ Mission Plaza,8193611,San Luis Obispo Creek,R3UBH
385,310SRU,Santa Rosa Creek at Ferrassi Road,8190759,Santa Rosa Creek,R3UBH
386,307TUL,Tularcitos Creek @ Carmel Valley Rd,17600591,Tularcitos Creek,R4SBC
387,307CMD,Carmel River @ Schulte Rd,17600113,Carmel River,R2UBH
388,310CAY,Cayucos Creek @ Cayucos Creek Rd,8193565,Cayucos Creek,R3UBH
389,310SCP,San Carpoforo Creek @ Hwy 1,8190321,San Carpoforo Creek,R1UBV
390,310TCC,Toro Creek at Toro Creek Canyon Road Bridge,8192531,Toro Creek,R3UBH
391,310TOR,Toro Creek upstream Hwy 1,8192531,Toro Creek,R3UBH
392,310VIA,Villa Creek upstream Hwy 1,8192479,Villa Creek,R2UBFx
393,308LSU,Little Sur River @ Old Coast Rd,8188841,South Fork Little Sur River,R3UBH
394,310BER,Los Berros Creek @ Valley Rd,8193027,Los Berros Creek,R4SBCx
395,310MOR,Morro Creek @ Lila Kaiser Park,8192559,Morro Creek,R2UBH
396,312CCC,Cuyama River below Cottonwood Canyon,17633540,Cuyama River,R4USA
397,312GVT,Orcutt Creek at Brown Road,17624199, ,R4SBCx
398,312CUT,Cuyama River below Twitchell @ White Rock Lane,17635028,Cuyama River,PUSCx
399,312HUA,Huasna River at School Road,17633096,Huasna River,R4SBA
400,312SBC,Santa Maria River at Bull Canyon Road,17625465,Santa Maria River,R4USJ
401,312SIS,Sisquoc River At Santa Maria Mesa Road,17625349,Sisquoc River,R4USJ
402,311SLN,Soda Lake North Tributary at Seven Mile Road,17657207, ,R4USA
403,311SLE,Soda Lake northeast culvert @ Seven Mile Rd,17657193, ,L2USC
404,309SALUBD,Salinas River at Blaco Road (upstream of Blanco Dam),8201805,Salinas River,R4SBC
405,309SALDDM,Salinas River downstream of Blanco Drain (100 feet below the inflatable dam),8201803,Salinas River,R1UBV
406,315FRCMVU,Franklin Creek 300 feet above Meadow View Road,17595477,Franklin Creek,R4SBCx
407,315FRCMVD,Franklin Creek 300 feet below Meadow View Road,17595477,Franklin Creek,R4SBCx
408,305CCUSGS,Clear Creek at USGS gauge and Oak Flat Camp,17673639,Clear Creek,PSS/USA
409,,,,,
