"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"312ORI","312ORI",114,52.6,3000,0.1,7.904,13,52.6,170.65,498.45,224.320175438596,72,63.1578947368421,63,55.2631578947368
"312ORN","312ORN",7,547,703.1,93.5,133.7,246.75,547,586.25,635.24,429.942857142857,7,100,7,100
"312ORS","312ORS",7,25.3,2757,7.7,9.08,16,25.3,490.95,1492.8,543.414285714286,4,57.1428571428571,3,42.8571428571429
"312OSR","312OSR",6,280.45,3000,31.1,45.25,71.375,280.45,520.65,1771.5,699.066666666667,6,100,5,83.3333333333333
"312SBC","312SBC",2,32.35,61.7,3,8.87000000000001,17.675,32.35,47.025,55.83,32.35,1,50,1,50
"312SIS","312SIS",3,16.3,34.9,2.9,5.58,9.6,16.3,25.6,31.18,18.0333333333333,1,33.3333333333333,0,0
"312SIV","312SIV",18,0.1,34.5,0,0,0.1,0.1,2,4.19,2.98611111111111,1,5.55555555555556,0,0
"312SMA","312SMA",177,139.2,3000,2.4,27.7,60.1,139.2,231.5,499.8,274.509548022599,165,93.2203389830508,148,83.6158192090395
"312SMI","312SMI",27,170.1,28400,0.1,6.44,24.7,170.1,2095,3000,1906.25925925926,20,74.0740740740741,17,62.962962962963
"312SQRABP","312SQRABP",1,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,0,0,0,0
"312USC","312USC",7,1064,3000,51.8,208.82,321.95,1064,1873,2448.6,1215.1,7,100,7,100
"313SAB","313SAB",19,2.5,705.3,0,0,0.145,2.5,13.2,40.7,47.1257894736842,3,15.7894736842105,2,10.5263157894737
"313SAC","313SAC",26,10.15,53.3,0,0,1.5,10.15,16.9,24.45,12.1192307692308,3,11.5384615384615,1,3.84615384615385
"313SAE","313SAE",2,409.95,677.9,142,195.59,275.975,409.95,543.925,624.31,409.95,2,100,2,100
"313SAI","313SAI",98,3.65,1172,0,0,0.525,3.65,10.925,62.98,47.7322448979592,15,15.3061224489796,12,12.2448979591837
"314DDE","314DDE",6,69.9,573,14.1,18.8,30.35,69.9,201.475,406,164.9,4,66.6666666666667,4,66.6666666666667
"314MCM","314MCM",7,6.2,36.4,2.7,4.32,5.7,6.2,14.75,24.82,12.3142857142857,1,14.2857142857143,0,0
"314MIG","314MIG",16,5.3,991.9,0,0.05,0.4375,5.3,11.975,33.5,69.959375,3,18.75,1,6.25
"314SAL","314SAL",23,5.5,713.1,0,0.02,1.6,5.5,16.65,153.72,66.2947826086957,5,21.7391304347826,5,21.7391304347826
"314SYC","314SYC",21,0.1,46.4,0,0,0.1,0.1,1.6,9,4.21047619047619,1,4.76190476190476,1,4.76190476190476
"314SYF","314SYF",90,9.175,2801,0,0.56,4.895,9.175,20.45,172.62,103.275222222222,18,20,14,15.5555555555556
"314SYI","314SYI",25,1,3000,0,0,0.1,1,3.4,577.080000000001,234.8124,6,24,5,20
"314SYL","314SYL",53,4.26,3000,0,0.1,1.2,4.26,20.2,638.220000000001,202.012830188679,12,22.6415094339623,11,20.7547169811321
"314SYN","314SYN",139,3.8,3000,0,0,0.26,3.8,14.35,67.5800000000001,97.8855395683453,24,17.2661870503597,19,13.6690647482014
"314SYP","314SYP",23,0.7,713.3,0,0,0.1,0.7,7.75,37,41.7478260869565,5,21.7391304347826,2,8.69565217391304
"315ABH","315ABH",14,2.3,1001,0,0,0.125,2.3,22.425,32.83,79.5857142857143,3,21.4285714285714,1,7.14285714285714
