comid,monitored
17682424,1
17682430,1
17682426,1
17682354,1
17596111,1
17595279,1
17595277,1
17595217,1
17595219,1
17595165,1
17595167,1
17594367,1
17594365,1
17682536,1
17682524,1
17596097,1
17595235,1
17595237,1
17595213,1
17595221,1
17595203,1
17595205,1
17595317,1
17595173,1
17595171,1
17595151,1
17595149,1
17594345,1
17594347,1
17594323,1
17594321,1
17594331,1
17594329,1
17594299,1
17594305,1
17594307,1
17594317,1
17594319,1
17594311,1
17594309,1
17594295,1
17594297,1
17661097,1
17662409,1
17662405,1
17662407,1
17662401,1
17662403,1
17661139,1
17661045,1
17662395,1
17662397,1
17662399,1
17661035,1
17661049,1
17661027,1
17662393,1
17662343,1
17662351,1
17661021,1
17662341,1
17661007,1
17662349,1
17660989,1
17661029,1
17661023,1
17661025,1
17661131,1
17661017,1
17661057,1
17661125,1
17661135,1
17595351,1
17595283,1
17596099,1
17596101,1
17596103,1
8193639,1
948060285,1
948060284,1
948060286,1
8192717,1
8193615,1
8192699,1
8192701,1
8192689,1
8192703,1
8193613,1
8192705,1
8192655,1
8192657,1
17607917,1
17607973,1
17607967,1
17608015,1
17607983,1
17608029,1
17608089,1
17608145,1
17608119,1
17608091,1
17608113,1
17608109,1
17608185,1
17609013,1
17608219,1
17609023,1
17608249,1
17609029,1
17608231,1
17608265,1
17684378,1
17684358,1
17684356,1
17683408,1
17683406,1
17683352,1
17683354,1
17683380,1
17683382,1
17683344,1
17683342,1
17683350,1
17683348,1
17683328,1
17683338,1
17683324,1
17683322,1
17683340,1
17683318,1
17683316,1
17683262,1
17683264,1
17683296,1
17683298,1
17683306,1
17683290,1
17683294,1
17683282,1
17683284,1
17683276,1
17683292,1
17683274,1
17683270,1
17683272,1
17683280,1
17683278,1
17683288,1
17683286,1
17683302,1
17683300,1
17683304,1
17673639,1
17671829,1
17671883,1
17671825,1
17671827,1
17671811,1
17671873,1
17671803,1
17671805,1
17671795,1
17671863,1
17671789,1
17671833,1
17671785,1
17671769,1
17671759,1
17671755,1
17671761,1
17671865,1
17671775,1
17671757,1
17671779,1
17671777,1
17671849,1
17671809,1
17671763,1
17671887,1
17671899,1
17671839,1
17671807,1
17637988,1
17637472,1
17637508,1
17637512,1
17637478,1
17637482,1
17637518,1
8192615,1
8192571,1
8192585,1
8192581,1
8192579,1
8192575,1
17594785,1
17594911,1
17594731,1
17593543,1
17593541,1
17593441,1
17593439,1
17593431,1
17593433,1
17593397,1
17593399,1
17593381,1
17593393,1
17593335,1
17593351,1
17593325,1
17593375,1
17593373,1
17593359,1
17593361,1
17593357,1
17671963,1
17673647,1
17671965,1
8201815,1
8200499,1
8200511,1
8200491,1
8200489,1
8200467,1
8200469,1
8200481,1
8200483,1
8200445,1
8200443,1
8200435,1
8200433,1
8200427,1
8200425,1
8200437,1
8200447,1
8200419,1
8200417,1
8200431,1
8200429,1
8200413,1
8200415,1
8200423,1
8200421,1
8200441,1
8200439,1
17661631,1
17661447,1
17662369,1
17661401,1
17661389,1
17661339,1
17661337,1
17661379,1
17661377,1
17661309,1
17661321,1
17661275,1
17661277,1
17661323,1
17661329,1
17661269,1
17661267,1
17661177,1
17661187,1
17661173,1
17661175,1
17661231,1
17661229,1
17661195,1
17661079,1
17661081,1
17661137,1
17661141,1
17662363,1
17661199,1
17661219,1
17661077,1
17661075,1
17661147,1
17661133,1
17661233,1
17661239,1
17661197,1
17661235,1
17661091,1
17635028,1
17635024,1
17635026,1
17635014,1
17635016,1
17635002,1
17635000,1
17635012,1
17634992,1
17634998,1
17635008,1
17635010,1
17634986,1
17634988,1
17634994,1
17634996,1
17635004,1
17634982,1
17634984,1
17634990,1
17634978,1
17634980,1
17635368,1
17634962,1
17634976,1
17634974,1
17634968,1
17634960,1
17635366,1
17634972,1
17634970,1
17634964,1
17634966,1
17634952,1
17634954,1
17634958,1
17634956,1
17634948,1
17634944,1
17634942,1
17634940,1
17634938,1
17634924,1
17634932,1
17634930,1
17634908,1
17634906,1
17634926,1
17634928,1
17635380,1
17632554,1
17632552,1
17633136,1
17632518,1
17632504,1
17632530,1
17632516,1
17632442,1
17633110,1
17632528,1
17633142,1
17633108,1
17633114,1
17632430,1
17632432,1
17632512,1
17633134,1
17634882,1
17633092,1
17632402,1
17633104,1
17633106,1
17633154,1
17641140,1
17633140,1
17633138,1
17632368,1
17632394,1
17632380,1
17632382,1
17632412,1
17632410,1
17632418,1
17632398,1
17633102,1
17632550,1
17632548,1
17633156,1
17641144,1
17632342,1
17632384,1
17633080,1
17633076,1
17633096,1
17633100,1
17634904,1
17634872,1
17632486,1
17633132,1
17632546,1
17632338,1
17632340,1
17632356,1
17632358,1
17632352,1
17632362,1
17633124,1
17633122,1
17634898,1
17632320,1
17632324,1
17632348,1
17632354,1
17632304,1
17632306,1
17632488,1
17632484,1
17632312,1
17632316,1
17632294,1
17632300,1
17632350,1
17632372,1
17632270,1
17632272,1
17633130,1
17632538,1
17632456,1
17632458,1
17632274,1
17632276,1
17632286,1
17632288,1
17633068,1
17632228,1
17632376,1
17632370,1
17632238,1
17632240,1
17632490,1
17632534,1
17633144,1
17633150,1
17632258,1
17632260,1
17632282,1
17633070,1
17633072,1
17633074,1
17633128,1
17632536,1
17632252,1
17632254,1
17632314,1
17632262,1
17632264,1
17633126,1
17632524,1
17632248,1
17632292,1
17632244,1
17632242,1
17633120,1
17632520,1
17632526,1
17632540,1
17632222,1
17632232,1
17632230,1
17633116,1
17633118,1
17632532,1
17632522,1
17632542,1
17632544,1
17634860,1
17632204,1
17632212,1
17632160,1
17632162,1
17632186,1
17632206,1
17632390,1
17632392,1
17632472,1
17632474,1
17634858,1
17633152,1
17635362,1
17635382,1
17634878,1
17634902,1
17632184,1
17632180,1
17632226,1
17632290,1
17632140,1
17632138,1
17632172,1
17632174,1
17632388,1
17632404,1
17632478,1
17632468,1
17634892,1
17634864,1
17632510,1
17634870,1
17634880,1
17634876,1
17632170,1
17632178,1
17632220,1
17632214,1
17632114,1
17632112,1
17632176,1
17632168,1
17633098,1
17632378,1
17632498,1
17632476,1
17632452,1
17632454,1
17634862,1
17634868,1
17632508,1
17632502,1
17634886,1
17634874,1
17632148,1
17632150,1
17632234,1
17632218,1
17632200,1
17632198,1
17632098,1
17632100,1
17632156,1
17632152,1
17632104,1
17632344,1
17633090,1
17632460,1
17632462,1
17632428,1
17632426,1
17634866,1
17634890,1
17632514,1
17632506,1
17632482,1
17634894,1
17634910,1
17632130,1
17632128,1
17632154,1
17632144,1
17632256,1
17632236,1
17633066,1
17632182,1
17632190,1
17632188,1
17632096,1
17632094,1
17632166,1
17632146,1
17633088,1
17632332,1
17632416,1
17632496,1
17632440,1
17632436,1
17635364,1
17634900,1
17632118,1
17632116,1
17632126,1
17632120,1
17632134,1
17632136,1
17632208,1
17632210,1
17633148,1
17633146,1
17633056,1
17633048,1
17632164,1
17632108,1
17632328,1
17632336,1
17632470,1
17632448,1
17632438,1
17632420,1
17632422,1
17634888,1
17634934,1
17634922,1
17632088,1
17632090,1
17632082,1
17632080,1
17632132,1
17632124,1
17632110,1
17632106,1
17632192,1
17633052,1
17633050,1
17632078,1
17633064,1
17632158,1
17633082,1
17632326,1
17632360,1
17632400,1
17632444,1
17632494,1
17632434,1
17634912,1
17634884,1
17632086,1
17632084,1
17632142,1
17632122,1
17632092,1
17632066,1
17632068,1
17633062,1
17633060,1
17633078,1
17632318,1
17632406,1
17632386,1
17632076,1
17633046,1
17632072,1
17632074,1
17632102,1
17632070,1
17633054,1
17633084,1
17632302,1
17633086,1
17632330,1
17632280,1
17632278,1
17632366,1
17632346,1
17632308,1
17632310,1
17632268,1
17633094,1
17632364,1
17632296,1
17632298,1
17632250,1
17632246,1
17633446,1
17632196,1
17632224,1
17632216,1
17633456,1
17633444,1
17633468,1
17633518,1
17633412,1
17633414,1
17633486,1
17633474,1
17633528,1
17633520,1
17633402,1
17633400,1
17633498,1
17633484,1
17633574,1
17633512,1
17633566,1
17633532,1
17632450,1
17633392,1
17633390,1
17633584,1
17633618,1
17633494,1
17633478,1
17633586,1
17633530,1
17632492,1
17632466,1
17632480,1
17632464,1
17633380,1
17633382,1
17633384,1
17633386,1
17633638,1
17634550,1
17634558,1
17633476,1
17633472,1
17633432,1
17633434,1
17632500,1
17633568,1
17634548,1
17633356,1
17633354,1
17632284,1
17633358,1
17633362,1
17635634,1
17633632,1
17633642,1
17633496,1
17633470,1
17633418,1
17633420,1
17633426,1
17633424,1
17633590,1
17633588,1
17633630,1
17632266,1
17633348,1
17633346,1
17634536,1
17633340,1
17633374,1
17633364,1
17635640,1
17635672,1
17635688,1
17635622,1
17633508,1
17634544,1
17633416,1
17634540,1
17633406,1
17633404,1
17633624,1
17633628,1
17635652,1
17633344,1
17633342,1
17633338,1
17633336,1
17633326,1
17633366,1
17633360,1
17635706,1
17635628,1
17635624,1
17633510,1
17633506,1
17633422,1
17633408,1
17635630,1
17633332,1
17633334,1
17635708,1
17635650,1
17635666,1
17633536,1
17633558,1
17633442,1
17633440,1
17633394,1
17633396,1
17633328,1
17633330,1
17635790,1
17635762,1
17635766,1
17635664,1
17633542,1
17633644,1
17633376,1
17633378,1
17632202,1
17635870,1
17635834,1
17635820,1
17635784,1
17635728,1
17633540,1
17633522,1
17635626,1
17633388,1
17633372,1
17633538,1
17633612,1
17633466,1
17633464,1
17633368,1
17633370,1
17633546,1
17633534,1
17633650,1
17633648,1
17633350,1
17633352,1
17633550,1
17633544,1
17635676,1
17635646,1
17633552,1
17633548,1
17633500,1
17633502,1
17635744,1
17635760,1
17635770,1
17635788,1
17633562,1
17633652,1
17635748,1
17635786,1
17633564,1
17633560,1
17635648,1
17635810,1
17635838,1
17635806,1
17635840,1
948060205,1
17633654,1
17635882,1
17635972,1
17635852,1
948060206,1
948060116,1
17635720,1
17635884,1
17635944,1
17633596,1
17633592,1
17633576,1
17635896,1
17635926,1
17633598,1
17633640,1
17633554,1
17633556,1
17633646,1
17633660,1
17635948,1
17633626,1
17633662,1
17634546,1
17633504,1
17635696,1
948060330,1
17633634,1
17635746,1
17633430,1
17633480,1
17633488,1
948060331,1
17633610,1
17633664,1
17633666,1
17633460,1
17633458,1
17633668,1
17633672,1
17633570,1
17633572,1
17635632,1
17635670,1
17633452,1
17633450,1
17633674,1
17633670,1
17635642,1
17633490,1
17633492,1
17635754,1
17635920,1
17633436,1
17633438,1
17637788,1
17635722,1
17635768,1
17635776,1
17635818,1
17633428,1
17633448,1
17635656,1
17635668,1
17635826,1
17635932,1
17635808,1
17635846,1
17635816,1
17635842,1
17635874,1
17634538,1
17634542,1
17638010,1
17635662,1
17635678,1
17635764,1
17635976,1
17635938,1
17635848,1
17635914,1
17635962,1
17633398,1
17633410,1
17635658,1
17638020,1
17635880,1
17635738,1
17635804,1
17636004,1
17635930,1
17635940,1
17635988,1
17635928,1
17635996,1
17635704,1
17635794,1
17635680,1
17635968,1
17635966,1
17635964,1
17637798,1
17635726,1
17635894,1
17635812,1
17635814,1
17635800,1
17636016,1
17636034,1
948060332,1
17635734,1
17635798,1
17635908,1
17636048,1
17635830,1
17635918,1
17635898,1
948060333,1
17635992,1
17635636,1
17635960,1
17635970,1
17635856,1
17635854,1
17638084,1
17635752,1
17635736,1
17636008,1
17636000,1
17633686,1
17635858,1
17635828,1
17635742,1
17635740,1
17635694,1
17635692,1
17636026,1
17636066,1
17637818,1
17637816,1
17633622,1
17633620,1
17635866,1
17635864,1
17635984,1
17635902,1
948060376,1
17635674,1
17635684,1
17636032,1
17637820,1
17635990,1
17635994,1
17633606,1
17633608,1
17635952,1
17636086,1
17636132,1
17635946,1
17636012,1
948060375,1
948060085,1
17633688,1
17637822,1
17637824,1
17636014,1
17635956,1
17636398,1
17636138,1
17636040,1
17636058,1
948060335,1
17638016,1
948060086,1
948060091,1
17636070,1
17636018,1
17636046,1
17636224,1
17636276,1
17636044,1
17636072,1
948060336,1
948060334,1
948060214,1
948060087,1
948060090,1
17636050,1
17636092,1
17636320,1
17636290,1
17636084,1
17636098,1
948060218,1
17638018,1
17636060,1
948060082,1
948060215,1
948060088,1
948060089,1
17637792,1
17636056,1
17636052,1
17636096,1
17636094,1
17636408,1
17636416,1
17636112,1
17636156,1
17637828,1
948060219,1
948060084,1
17638042,1
17641160,1
17636080,1
17636396,1
17637794,1
948060083,1
948060216,1
17635682,1
17633692,1
17636064,1
17636176,1
17636208,1
17636102,1
17636454,1
17636236,1
17636148,1
17636246,1
17636158,1
17635802,1
17636030,1
17638044,1
17641162,1
17636130,1
17636298,1
17633698,1
17635698,1
17635750,1
948060217,1
17633694,1
17633604,1
17633602,1
17636542,1
17636532,1
17636150,1
17636162,1
17637838,1
17637844,1
17637836,1
17635778,1
17635780,1
17636212,1
17637830,1
17636172,1
17638046,1
17641164,1
17636210,1
17636266,1
17633658,1
17633656,1
17633700,1
17635710,1
17637796,1
17635792,1
948060213,1
17633616,1
17633614,1
17636610,1
17636554,1
17636222,1
17636166,1
17636288,1
17636260,1
17636220,1
17635774,1
17635772,1
17636310,1
17636312,1
17638048,1
17641166,1
17636280,1
17636322,1
17635686,1
17633704,1
17635718,1
17635716,1
17635878,1
17635876,1
17636632,1
17636608,1
17636562,1
17636546,1
17636282,1
17636272,1
17636230,1
17636168,1
17636372,1
17636342,1
17636204,1
17638050,1
17641168,1
17636362,1
17636306,1
17633636,1
17633706,1
17635890,1
17636658,1
17636678,1
17636572,1
17636296,1
17636270,1
17636164,1
17636486,1
17636462,1
17636420,1
17636544,1
17636160,1
17638052,1
17641170,1
17636350,1
17636442,1
17638086,1
17636686,1
17636656,1
17636618,1
17636574,1
17636338,1
17636366,1
17636186,1
17636422,1
17636178,1
17636180,1
17637834,1
17638054,1
17641172,1
17636378,1
17636444,1
17636726,1
17636630,1
17635886,1
17636698,1
17636738,1
17636626,1
17636620,1
17636356,1
17636510,1
17636334,1
17636304,1
17636576,1
17636508,1
17636184,1
17636140,1
17636190,1
17636300,1
17638056,1
17641174,1
17636456,1
17636602,1
17635892,1
17635912,1
17636774,1
17636750,1
17636628,1
17636586,1
17636390,1
17636446,1
17636380,1
17636200,1
17636198,1
17636134,1
17636238,1
17636534,1
17637840,1
17637850,1
17638058,1
17641176,1
17636600,1
17636520,1
17638088,1
17635924,1
17635922,1
17636784,1
17636832,1
17636800,1
17636644,1
17636662,1
17636530,1
17636452,1
17636440,1
17636404,1
17636218,1
17636126,1
17636258,1
17637846,1
17637842,1
17637854,1
17638060,1
948060220,1
17636704,1
17636680,1
17635942,1
17636796,1
17636668,1
17636458,1
17636536,1
17636252,1
17636250,1
17636120,1
17636118,1
17636314,1
17636424,1
17637858,1
948060221,1
948060098,1
17636904,1
17636842,1
17636688,1
17636756,1
948060208,1
17636116,1
17636128,1
17636332,1
17636308,1
17638062,1
17641180,1
17637862,1
17636700,1
948060207,1
17636292,1
17636136,1
17636114,1
17636340,1
17636352,1
17636652,1
17638064,1
17641182,1
17636742,1
17636638,1
17636708,1
17636370,1
17636568,1
17636318,1
17636294,1
17637832,1
17636264,1
17636428,1
17636384,1
17637868,1
17637864,1
17636684,1
17638066,1
17641184,1
17636794,1
17636776,1
