"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"308PS0204","308PS0204",1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0
"308PWCAH1","308PWCAH1",1,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0,0,0,0
"308ROCBBQ","308ROCBBQ",1,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,0,0,0,0
"308SAM","308SAM",8,0.05,7.2,0,0,0,0.05,0.685,2.65,1.085,0,0,0,0
"308SJC","308SJC",13,1,13.4,0,0.02,0.1,1,2,5.16,2.25384615384615,0,0,0,0
"308WER325","308WER325",1,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0,0,0,0
"308WLO","308WLO",73,0.1,8.3,0,0,0,0.1,0.24,1.72,0.578493150684931,0,0,0,0
"309-SRITA-34","309-SRITA-34",10,19.3,98.3,0,1.08,3.275,19.3,43.375,66.62,29.46,5,50,4,40
"309-SRITA-36","309-SRITA-36",6,131.65,1949,43,66.2,94.375,131.65,167.95,1060.8,419.55,6,100,6,100
"309ALD","309ALD",46,37.5,207.3,0,10.7,19.4,37.5,57.5,82.75,43.5978260869565,30,65.2173913043478,20,43.4782608695652
"309ALG","309ALG",67,55,505,0,13.52,26.9,55,156.7,243.6,104.598507462687,53,79.1044776119403,45,67.1641791044776
"309ALU","309ALU",18,101.6,355.8,20,26.9,34.35,101.6,157.775,347.48,127.766666666667,16,88.8888888888889,12,66.6666666666667
"309ANT","309ANT",1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0
"309ARCBRC","309ARCBRC",1,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,0,0,0,0
"309ARSARC","309ARSARC",1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,0,0,0,0
"309ASB","309ASB",67,22.6,3000,2.3,6.2,11.85,22.6,42.15,72.36,79.2641791044776,30,44.7761194029851,18,26.865671641791
"309ATS","309ATS",17,0.55,35.9,0,0,0.1,0.55,2.5,6.68,3.59882352941176,1,5.88235294117647,0,0
"309AVR","309AVR",5,26.9,40.3,5,6.8,9.5,26.9,36.1,38.62,23.56,3,60,1,20
"309AXX","309AXX",5,12.2,23.7,0.9,5.38,12.1,12.2,13.4,19.58,12.46,0,0,0,0
"309BLA","309BLA",70,27.45,3000,0.1,4.49,11.225,27.45,63.625,101.89,89.4671428571429,39,55.7142857142857,27,38.5714285714286
"309CAW009","309CAW009",1,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0,0,0,0
"309CAW050","309CAW050",1,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0,0,0,0
"309CAW116","309CAW116",1,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0,0,0,0
"309CAW126","309CAW126",2,0.285,0.39,0.18,0.201,0.2325,0.285,0.3375,0.369,0.285,0,0,0,0
"309CAW130","309CAW130",1,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0,0,0,0
