"season","sites","StationCode","N","turb_quan25","turb_quan5","turb_quan75","IQR"
"all","ref","305CHI",165,9.45,22.4,50.4,40.95
"all","ref","305COR",136,9.5625,19.3,38.025,28.4625
"all","ref","305LCS",149,1.68,3.66,6.8,5.12
"all","ref","305SJA",167,6.885,13.9,22.05,15.165
"all","ref","310CCC",134,1.1475,2.155,3.85,2.7025
"all","ref","310PRE",156,7.69,10.25,16.125,8.435
"all","ref","312OFN",162,6.575,17.95,39.575,33
"all","ref","312ORI",166,8.435,19.3,88.375,79.94
"all","ref","314SYF",112,3.7725,7.32,14.425,10.6525
"all","ref","314SYL",55,1.19,3.22,8.15,6.96
"all","ref","314SYN",88,1.675,5.175,13.8,12.125
"dry","ref","305CAN",28,1.675,4.225,14.375,12.7
"dry","ref","305CHI",67,7.585,19.8,44.7,37.115
"dry","ref","305COR",54,9.535,18.4,39.575,30.04
"dry","ref","305LCS",59,1.25,3.52,6.195,4.945
"dry","ref","305SJA",69,5.72,9,16.1,10.38
"dry","ref","310CCC",50,1.2,2.4,3.295,2.095
"dry","ref","310PRE",67,7.68,10.3,13.65,5.97
"dry","ref","312OFN",70,4.2425,7.3,20.05,15.8075
"dry","ref","312ORI",72,6.4175,10.25,22.8,16.3825
"dry","ref","314SYF",47,2.35,4.65,8.85,6.5
"dry","ref","314SYL",17,0.63,2.95,3.89,3.26
"dry","ref","314SYN",29,1.4,3.7,8.18,6.78
"wet","ref","305CAN",81,2.75,6,19.2,16.45
"wet","ref","305CHI",98,10.9,26.45,55.15,44.25
"wet","ref","305COR",82,9.625,19.5,37.25,27.625
"wet","ref","305LCS",90,1.9025,3.855,9.4225,7.52
"wet","ref","305SJA",98,9.74,17.05,26.675,16.935
"wet","ref","310CCC",84,0.9925,2.1,4.41,3.4175
"wet","ref","310PRE",89,7.8,10.1,20.8,13
"wet","ref","312OFN",92,15.35,24.6,49.85,34.5
"wet","ref","312ORI",94,12.925,54,170.65,157.725
"wet","ref","314SYF",65,5.9,11.2,17.9,12
"wet","ref","314SYL",38,1.305,4.98,20.05,18.745
"wet","ref","314SYN",59,1.975,5.91,15.1,13.125
